jurHash,txnId,ts,result.statusMessage,durationMillis,requestId,extUserId,result.status,wsdlVersion,operation,_id
112256955,vipus0E48BEC71E28C81F,2018-01-29 00:03:30.085 +0000,Success,2,9999,testto demo,0000,1_8,createUser,car4be-w2-tc.1517184210085.15247464
112256955,vipusC0335BC0DF3001D0,2018-02-01 17:36:42.799 +0000,Success,2,1234,PYTHONTEST,0000,1_8,createUser,car1be-w1-tc.1517506602799.21267861
112256955,vipusAED9B009311C8B2F,2018-02-01 17:49:58.288 +0000,User already exists.,6,1234,PYTHONTEST,6002,1_8,createUser,car5be-w1-tc.1517507398288.21554479
112256955,vipusFC3CE2A4A55E2DC7,2018-02-01 17:49:58.407 +0000,Invalid input.,14,1234,PYTHONTEST,6015,1_8,authenticateUser,car5be-w1-tc.1517507398407.21554482
112256955,vipus6EDA93C385958E00,2018-02-01 17:51:35.804 +0000,Invalid input.,3,1234,PYTHONTEST,6015,1_8,authenticateUser,car3be-w1-tc.1517507495804.21578071
112256955,vipus87F558716E9D89B4,2018-02-01 17:51:47.813 +0000,Invalid input.,3,12345,PYTHONTEST,6015,1_8,authenticateUser,car4be-w2-tc.1517507507813.21486806
112256955,vipusEFAF86F93ACB6BAE,2018-02-01 17:54:19.022 +0000,Invalid input.,2,12345,PYTHONTEST,6015,1_8,authenticateUser,car5be-w1-tc.1517507659022.21559373
112256955,vipus6B7DB328669448A6,2018-02-01 17:56:18.654 +0000,User does not have any enabled credential for the given credential type.,5,12345,PYTHONTEST,6008,1_8,authenticateUser,car3be-w1-tc.1517507778654.21583254
112256955,vipusA9A58A9BEC1D5F39,2018-02-01 18:00:53.543 +0000,Success,4,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car5be-w1-tc.1517508053543.21566816
112256955,vipus17715F0B57A1F978,2018-02-01 18:01:05.278 +0000,Success,2,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car5be-w1-tc.1517508065278.21567057
112256955,vipusC6048D72A8E16941,2018-02-01 18:01:34.034 +0000,Success,5,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car1be-w1-tc.1517508094034.21296075
112256955,vipus00DA97C808AE7448,2018-02-01 18:01:34.153 +0000,Success,5,12345,PYTHONTEST,0000,1_8,authenticateUser,car1be-w1-tc.1517508094153.21296078
112256955,vipus2319A79AD5474F18,2018-02-01 18:31:46.883 +0000,Success,4,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car2be-w2-tc.1517509906883.21361519
112256955,vipusA17E8DF0946EF959,2018-02-01 18:31:47.005 +0000,Success,3,12345,PYTHONTEST,0000,1_8,authenticateUser,car2be-w2-tc.1517509907005.21361522
112256955,vipusAAFB5575BCA24BD9,2018-02-01 21:39:49.792 +0000,Success,5,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car5be-w1-tc.1517521189792.21813039
112256955,vipus2E559DFD555D751D,2018-02-01 21:39:49.953 +0000,Success,4,12345,PYTHONTEST,0000,1_8,authenticateUser,car5be-w1-tc.1517521189953.21813043
112256955,vipus58640B0CCC80E26B,2018-02-01 21:41:02.393 +0000,Success,4,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car2be-w2-tc.1517521262393.21577005
112256955,vipusE3ED3C355DA79323,2018-02-01 21:41:02.530 +0000,User does not have any enabled credential for the given credential type.,5,12345,PYTHONTEST,6008,1_8,authenticateUser,car2be-w2-tc.1517521262530.21577008
112256955,vipusB6C12EDEE753EF41,2018-02-01 21:41:38.116 +0000,Success,4,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car5be-w1-tc.1517521298115.21815278
112256955,vipusD0568C049729059A,2018-02-01 21:41:38.259 +0000,Success,3,12345,PYTHONTEST,0000,1_8,authenticateUser,car5be-w1-tc.1517521298259.21815280
112256955,vipusD1A7595A8C0785A2,2018-02-01 21:41:56.039 +0000,Success,3,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car4be-w2-tc.1517521316039.21748124
112256955,vipus50F7C6FC4622BFE5,2018-02-01 21:41:56.158 +0000,Success,3,12345,PYTHONTEST,0000,1_8,authenticateUser,car4be-w2-tc.1517521316158.21748125
112256955,vipusBEF28ED2E13EAD3A,2018-02-01 21:42:55.828 +0000,Success,3,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car6be-w2-tc.1517521375828.21790013
112256955,vipus06B1CA55B4AB9CE7,2018-02-01 21:42:55.933 +0000,Success,3,12345,PYTHONTEST,0000,1_8,authenticateUser,car6be-w2-tc.1517521375933.21790015
112256955,vipusEF607939063CD297,2018-02-01 21:43:02.839 +0000,Success,4,1234,PYTHONTEST,0000,1_8,setTemporaryPassword,car4be-w2-tc.1517521382839.21749388
112256955,vipus96375EAA69BF16CA,2018-02-01 21:43:02.948 +0000,User does not have any enabled credential for the given credential type.,5,12345,PYTHONTEST,6008,1_8,authenticateUser,car4be-w2-tc.1517521382948.21749392
